,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
34,Willy Hernangomez\hernawi01,22,NYK,NBA,2016-17,72,22,18.4,3.4,6.5,3.4,6.3,0.1,0.2,1.3,1.7,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,0.529,0.538,0.267,0.533,0.728,0.564
35,Buddy Hield\hieldbu01,23,TOT,NBA,2016-17,82,55,23,4,9.4,2.2,4.7,1.8,4.6,0.8,0.9,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,0.426,0.461,0.391,0.523,0.842,0.541
36,Danuel House\houseda01,23,WAS,NBA,2016-17,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,
37,Brandon Ingram\ingrabr01,19,LAL,NBA,2016-17,79,40,28.8,3.5,8.7,2.8,6.3,0.7,2.4,1.7,2.7,0.8,3.2,4,2.1,0.6,0.5,1.5,2,9.4,0.402,0.443,0.294,0.442,0.621,0.474
38,Demetrius Jackson\jacksde01,22,BOS,NBA,2016-17,5,0,3.4,0.6,0.8,0.4,0.6,0.2,0.2,0.6,1.2,0.4,0.4,0.8,0.6,0,0,0,0,2,0.75,0.667,1,0.875,0.5,0.753
39,Pierre Jackson\jackspi01,25,DAL,NBA,2016-17,8,1,10.5,1.6,4.9,1.3,3.5,0.4,1.4,0.8,0.9,0.1,1,1.1,2.4,0.3,0,0.4,0.6,4.4,0.333,0.357,0.273,0.372,0.857,0.416
40,Brice Johnson\johnsbr02,22,LAC,NBA,2016-17,3,0,3,0.7,2.3,0.7,2.3,0,0,0,0,0.3,0.7,1,0.3,0.7,0.3,0.3,0,1.3,0.286,0.286,,0.286,,0.286
41,Damian Jones\jonesda03,21,GSW,NBA,2016-17,10,0,8.5,0.8,1.6,0.8,1.6,0,0,0.3,1,0.9,1.4,2.3,0,0.1,0.4,0.6,1.5,1.9,0.5,0.5,,0.5,0.3,0.466
42,Derrick Jones\jonesde02,19,PHO,NBA,2016-17,32,8,17,2.1,3.8,2,3.4,0.1,0.3,0.9,1.3,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2,5.3,0.562,0.591,0.273,0.574,0.707,0.604
43,Mindaugas Kuzminskas\kuzmimi01,27,NYK,NBA,2016-17,68,5,14.9,2.3,5.4,1.5,3,0.8,2.5,0.8,1,0.7,1.2,1.9,1,0.4,0.2,0.8,1.2,6.3,0.428,0.517,0.321,0.501,0.809,0.533
