,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
615,Mario Chalmers\chalmma01,22,MIA,NBA,2008-09,82,82,32,3.4,8.1,2,4.3,1.4,3.8,1.8,2.4,0.5,2.3,2.8,4.9,2,0.1,2,2.9,10,0.42,0.467,0.367,0.506,0.767,0.548
616,Joe Crawford\crawfjo01,22,NYK,NBA,2008-09,2,0,11.5,1.5,5,1,3,0.5,2,1,1,0.5,1.5,2,0.5,0.5,0,0,1,4.5,0.3,0.333,0.25,0.35,1,0.414
617,Joey Dorsey\dorsejo01,25,HOU,NBA,2008-09,3,0,2,0.3,0.7,0.3,0.7,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0.7,0.5,0.5,,0.5,,0.5
618,Chris Douglas-Roberts\douglch01,22,NJN,NBA,2008-09,44,3,13.3,1.8,4,1.8,3.7,0.1,0.3,1.2,1.4,0.3,0.8,1.1,1.2,0.3,0.2,0.7,0.8,4.9,0.46,0.476,0.25,0.469,0.823,0.531
619,Goran Dragic\dragigo01,22,PHO,NBA,2008-09,55,1,13.2,1.6,4.1,1.2,3.1,0.4,1,0.9,1.2,0.6,1.3,1.9,2,0.5,0.1,1.3,1.6,4.5,0.393,0.4,0.37,0.438,0.769,0.487
620,Rudy Fernandez\fernaru01,23,POR,NBA,2008-09,78,4,25.6,3.4,8.1,1.4,3,2,5.1,1.5,1.8,0.6,2.1,2.7,2,0.9,0.2,1.1,1.4,10.4,0.425,0.47,0.399,0.552,0.839,0.588
621,Danilo Gallinari\gallida01,20,NYK,NBA,2008-09,28,2,14.7,2,4.5,0.9,1.9,1.1,2.6,0.9,1,0.5,1.5,2,0.5,0.5,0.1,0.5,1.7,6.1,0.448,0.453,0.444,0.576,0.963,0.621
622,Marc Gasol\gasolma01,24,MEM,NBA,2008-09,82,75,30.7,4.3,8.1,4.3,8,0,0,3.4,4.6,2.5,4.9,7.4,1.7,0.8,1.1,2,3.2,11.9,0.53,0.53,0,0.53,0.733,0.59
623,J.R. Giddens\giddejr01,23,BOS,NBA,2008-09,6,0,1.3,0.3,0.5,0.3,0.5,0,0,0,0,0.3,0.2,0.5,0,0.2,0,0.2,0.2,0.7,0.667,0.667,,0.667,,0.667
624,Eric Gordon\gordoer01,20,LAC,NBA,2008-09,78,65,34.3,5.3,11.6,3.6,7.2,1.7,4.3,3.8,4.5,0.6,2,2.6,2.8,1,0.4,2.1,2.2,16.1,0.456,0.496,0.389,0.529,0.854,0.593
625,Donte Greene\greendo01,20,SAC,NBA,2008-09,55,4,13.2,1.4,4.3,0.9,2.5,0.5,1.8,0.5,0.6,0.3,1.2,1.6,0.5,0.3,0.3,0.7,1.2,3.8,0.326,0.375,0.26,0.381,0.853,0.416
626,Hamed Haddadi\haddaha01,23,MEM,NBA,2008-09,19,0,6.3,0.8,1.6,0.8,1.6,0,0,0.9,1.6,0.8,1.6,2.5,0.4,0.1,0.6,0.5,1.1,2.5,0.484,0.484,,0.484,0.6,0.543
627,Malik Hairston\hairsma01,21,SAS,NBA,2008-09,15,0,10.3,1.6,3.3,1.6,3.2,0,0.1,0.1,0.5,0.7,1.1,1.9,0.9,0.4,0.5,0.8,1.3,3.3,0.49,0.5,0,0.49,0.286,0.48
628,Roy Hibbert\hibbero01,22,IND,NBA,2008-09,70,42,14.4,2.8,6,2.8,6,0,0,1.4,2.1,1.6,1.8,3.5,0.7,0.3,1.1,0.8,3.1,7.1,0.471,0.471,,0.471,0.667,0.51
629,J.J. Hickson\hicksjj01,20,CLE,NBA,2008-09,62,0,11.4,1.6,3.1,1.6,3.1,0,0,0.7,1.1,0.8,1.8,2.7,0.1,0.2,0.5,0.7,1.3,4,0.515,0.515,,0.515,0.672,0.548
630,George Hill\hillge01,22,SAS,NBA,2008-09,77,7,16.5,1.9,4.8,1.6,3.9,0.3,0.9,1.5,1.9,0.4,1.7,2.1,1.8,0.6,0.3,1,1.9,5.7,0.403,0.421,0.329,0.435,0.781,0.502
631,Steven Hill\hillst01,23,OKC,NBA,2008-09,1,0,2,1,1,1,1,0,0,0,0,2,1,3,0,0,0,0,0,2,1,1,,1,,1
632,Othello Hunter\hunteot01,22,ATL,NBA,2008-09,16,0,5.8,0.7,1.3,0.7,1.3,0,0,0,0.3,0.6,0.9,1.5,0.1,0.1,0.3,0.1,0.7,1.4,0.55,0.55,,0.55,0,0.495
633,Darnell Jackson\jacksda01,23,CLE,NBA,2008-09,51,2,8.4,0.7,1.7,0.7,1.6,0,0,0.5,0.7,0.6,1.1,1.7,0.2,0.2,0.1,0.3,1.5,1.9,0.43,0.44,0,0.43,0.686,0.483
634,Nathan Jawai\jawaina01,22,TOR,NBA,2008-09,6,0,3.2,0.2,0.7,0.2,0.7,0,0,0,0,0.2,0.2,0.3,0,0,0,0.3,0.5,0.3,0.25,0.25,,0.25,,0.25
635,Dontell Jefferson\jeffedo01,25,CHA,NBA,2008-09,6,0,14,1.8,3.7,1.7,3.3,0.2,0.3,1,1.5,0.2,1.8,2,1.5,0.7,0.2,1,1.5,4.8,0.5,0.5,0.5,0.523,0.667,0.559
636,Trey Johnson\johnstr01,24,CLE,NBA,2008-09,4,0,3.5,0,1.3,0,1.3,0,0,1,1,0,0.3,0.3,0,0,0,0.3,1,1,0,0,,0,1,0.296
637,DeAndre Jordan\jordade01,20,LAC,NBA,2008-09,53,13,14.5,1.8,2.8,1.8,2.8,0,0,0.8,2.1,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1.8,4.3,0.633,0.633,,0.633,0.385,0.585
638,Kosta Koufos\koufoko01,19,UTA,NBA,2008-09,48,7,11.8,2,3.9,2,3.9,0,0,0.8,1.1,1,1.8,2.9,0.4,0.3,0.6,0.5,1.5,4.7,0.508,0.508,,0.508,0.706,0.54
639,Rob Kurz\kurzro01,23,GSW,NBA,2008-09,40,5,11.1,1.3,3.3,0.9,2.3,0.4,1,1,1.3,0.8,1.2,2,0.5,0.4,0.5,0.4,2,3.9,0.389,0.387,0.395,0.447,0.8,0.513
640,Courtney Lee\leeco01,23,ORL,NBA,2008-09,77,42,25.2,3.2,7,2.1,4.4,1.1,2.6,1,1.2,0.2,2.1,2.3,1.2,1,0.2,0.9,2,8.4,0.45,0.478,0.404,0.526,0.83,0.556
641,Brook Lopez\lopezbr01,20,NJN,NBA,2008-09,82,75,30.5,5.5,10.3,5.5,10.3,0,0,2.1,2.6,2.7,5.4,8.1,1,0.5,1.8,1.8,3.1,13,0.531,0.532,0,0.531,0.793,0.568
642,Robin Lopez\lopezro01,20,PHO,NBA,2008-09,60,7,10.2,1.2,2.3,1.2,2.3,0,0,0.8,1.1,0.9,1.1,2,0.1,0.2,0.7,0.5,1.6,3.2,0.518,0.522,0,0.518,0.691,0.566
643,Kevin Love\loveke01,20,MIN,NBA,2008-09,81,37,25.3,3.9,8.5,3.9,8.3,0,0.2,3.3,4.1,3.4,5.7,9.1,1,0.4,0.6,1.5,2.5,11.1,0.459,0.469,0.105,0.461,0.789,0.538
644,Cartier Martin\martica01,24,CHA,NBA,2008-09,33,1,8.1,0.8,2.3,0.5,1.3,0.3,1,0.6,0.8,0.2,0.8,1,0.4,0.2,0.1,0.3,1,2.6,0.364,0.409,0.303,0.429,0.8,0.489
645,O.J. Mayo\mayooj01,21,MEM,NBA,2008-09,82,82,38,6.9,15.6,5.1,11,1.8,4.6,3,3.4,0.7,3.1,3.8,3.2,1.1,0.2,2.8,2.5,18.5,0.438,0.461,0.384,0.495,0.879,0.539
646,Luc Mbah a Moute\mbahalu01,22,MIL,NBA,2008-09,82,52,25.8,2.8,6,2.8,5.9,0,0,1.7,2.3,2.3,3.6,5.9,1.1,1.1,0.5,1.2,2.5,7.2,0.462,0.466,0,0.462,0.729,0.516
647,JaVale McGee\mcgeeja01,21,WAS,NBA,2008-09,75,14,15.2,2.5,5.2,2.5,5.2,0,0,1.4,2.2,1.6,2.3,3.9,0.3,0.4,1,0.8,2.1,6.5,0.494,0.494,,0.494,0.66,0.534
648,Anthony Morrow\morroan01,23,GSW,NBA,2008-09,67,17,22.6,3.8,8,2.5,5.2,1.3,2.7,1.2,1.4,1.2,1.8,3,1.2,0.5,0.2,0.8,1.9,10.1,0.478,0.483,0.467,0.558,0.87,0.588
649,DeMarcus Nelson\nelsode01,23,GSW,NBA,2008-09,13,5,13.2,1.8,4.2,1.8,3.9,0,0.2,0.4,1.1,0.5,1.4,1.8,1,0.7,0.2,1.2,1.8,4.1,0.444,0.471,0,0.444,0.357,0.44
650,Greg Oden\odengr01,21,POR,NBA,2008-09,61,39,21.5,3.2,5.8,3.2,5.8,0,0,2.4,3.7,2.8,4.2,7,0.5,0.4,1.1,1.4,3.9,8.9,0.564,0.564,,0.564,0.637,0.599
651,Anthony Randolph\randoan01,19,GSW,NBA,2008-09,63,22,17.9,3.2,6.8,3.2,6.8,0,0.1,1.6,2.2,2,3.7,5.8,0.8,0.7,1.2,1.3,2.2,7.9,0.462,0.466,0,0.462,0.716,0.506
652,Derrick Rose\rosede01,20,CHI,NBA,2008-09,81,80,37,7.1,14.9,6.9,14,0.2,0.9,2.4,3.1,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8,0.475,0.491,0.222,0.482,0.788,0.516
653,Brandon Rush\rushbr01,23,IND,NBA,2008-09,75,19,24,3.2,7.7,2.2,4.9,1,2.8,0.6,0.9,0.5,2.7,3.1,0.9,0.5,0.5,1,1.7,8.1,0.423,0.451,0.373,0.49,0.697,0.505
654,Walter Sharpe\sharpwa01,22,DET,NBA,2008-09,8,0,2.5,0.5,1.4,0.5,1.1,0,0.3,0,0.3,0,0.4,0.4,0,0,0.3,0,0.4,1,0.364,0.444,0,0.364,0,0.337
655,Sean Singletary\singlse01,23,TOT,NBA,2008-09,37,2,8.2,0.8,2.3,0.6,1.6,0.3,0.7,0.5,0.6,0.3,0.7,0.9,0.8,0.3,0,0.6,1.2,2.4,0.365,0.35,0.4,0.424,0.857,0.478
656,Marreese Speights\speigma01,21,PHI,NBA,2008-09,79,2,16,3.2,6.4,3.2,6.3,0,0.1,1.3,1.7,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7,0.502,0.506,0.25,0.504,0.773,0.543
657,Mike Taylor\taylomi01,23,LAC,NBA,2008-09,51,5,15.1,2.2,5.2,1.9,4.5,0.3,0.8,1.1,1.6,0.4,1.3,1.7,2.1,0.7,0,1.4,1.6,5.7,0.412,0.427,0.325,0.436,0.691,0.477
658,Jason Thompson\thompja02,22,SAC,NBA,2008-09,82,56,28.1,4.3,8.7,4.3,8.6,0,0.1,2.4,3.5,2.9,4.5,7.4,1.1,0.6,0.7,1.8,3.8,11.1,0.497,0.502,0,0.497,0.692,0.54
659,Anthony Tolliver\tollian01,23,SAS,NBA,2008-09,19,0,10.9,1,3.4,0.5,1.3,0.5,2.2,0.3,0.5,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7,0.292,0.417,0.22,0.362,0.5,0.375
660,Roko Ukic\ukicro01,24,TOR,NBA,2008-09,72,0,12.4,1.7,4.5,1.6,3.6,0.2,0.9,0.6,0.8,0.4,0.7,1,2.1,0.4,0,0.8,1.1,4.2,0.38,0.427,0.177,0.397,0.733,0.43
661,Henry Walker\walkebi01,21,BOS,NBA,2008-09,29,0,7.4,1.2,2,1.2,2,0,0,0.6,0.8,0.3,0.7,1,0.4,0.2,0.1,0.6,1.8,3,0.621,0.632,0,0.621,0.696,0.646
662,Kyle Weaver\weaveky01,22,OKC,NBA,2008-09,56,19,20.8,2,4.4,1.4,2.7,0.6,1.7,0.7,1,0.6,1.8,2.3,1.8,0.8,0.4,1.2,1.4,5.3,0.459,0.529,0.344,0.524,0.707,0.551
663,Sonny Weems\weemsso01,22,DEN,NBA,2008-09,12,0,4.6,0.7,2.1,0.7,1.8,0,0.3,0.3,0.7,0,0.3,0.3,0.3,0.1,0,0.5,0.7,1.6,0.32,0.364,0,0.32,0.375,0.333
664,Russell Westbrook\westbru01,20,OKC,NBA,2008-09,82,65,32.5,5.3,13.4,4.9,11.8,0.4,1.6,4.3,5.2,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,0.398,0.415,0.271,0.414,0.815,0.489
665,D.J. White\whitedj01,22,OKC,NBA,2008-09,7,0,18.6,3.7,7.1,3.7,7.1,0,0,1.4,1.9,1.4,3.1,4.6,0.9,0.4,0.7,0.4,1.4,8.9,0.52,0.52,,0.52,0.769,0.556
666,Jawad Williams\willija04,25,CLE,NBA,2008-09,10,0,2,0.5,1.2,0.3,0.6,0.2,0.6,0,0,0.1,0.1,0.2,0,0.1,0,0.1,0.2,1.2,0.417,0.5,0.333,0.5,,0.5
667,Sun Yue\yuesu01,23,LAL,NBA,2008-09,10,0,2.8,0.3,1.1,0.3,0.5,0,0.6,0,0,0,0,0,0.2,0.1,0.1,0.3,1,0.6,0.273,0.6,0,0.273,,0.273
668,Arron Afflalo\afflaar01,22,DET,NBA,2007-08,75,9,12.9,1.3,3.2,1.2,2.6,0.1,0.6,0.9,1.2,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,0.411,0.461,0.208,0.432,0.782,0.494
669,Blake Ahearn\ahearbl01,23,MIA,NBA,2007-08,12,0,14.8,1.3,4.8,0.4,1.9,0.8,2.8,2.5,2.6,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8,0.263,0.217,0.294,0.351,0.968,0.495
670,Lance Allred\allrela01,26,CLE,NBA,2007-08,3,0,3.3,0.3,1.3,0.3,1.3,0,0,0.3,0.7,0,0.3,0.3,0,0,0,0,0.3,1,0.25,0.25,,0.25,0.5,0.307
671,Morris Almond\almonmo01,22,UTA,NBA,2007-08,9,0,4.3,0.4,1.7,0.3,1.2,0.1,0.4,0.4,0.7,0,0.2,0.2,0.3,0.1,0,0.2,0.6,1.4,0.267,0.273,0.25,0.3,0.667,0.368
672,Joel Anthony\anthojo01,25,MIA,NBA,2007-08,24,1,20.8,1.2,2.5,1.2,2.5,0,0,1.2,2,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5,0.467,0.467,,0.467,0.592,0.521
673,Marco Belinelli\belinma01,21,GSW,NBA,2007-08,33,0,7.3,1.1,2.8,0.6,1.6,0.5,1.2,0.2,0.3,0.1,0.3,0.4,0.5,0.2,0,0.4,0.5,2.9,0.387,0.385,0.39,0.473,0.778,0.49
674,Corey Brewer\breweco01,21,MIN,NBA,2007-08,79,35,22.8,2.3,6.2,2.2,5.7,0.1,0.5,1.1,1.4,1,2.7,3.7,1.4,1,0.3,1.1,2.4,5.8,0.374,0.389,0.194,0.382,0.8,0.429
675,Aaron Brooks\brookaa01,23,HOU,NBA,2007-08,51,0,11.9,1.8,4.4,1.1,2.3,0.7,2.1,0.8,1,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,0.413,0.491,0.33,0.493,0.857,0.535
676,Wilson Chandler\chandwi01,20,NYK,NBA,2007-08,35,16,19.6,3,6.9,2.8,6.1,0.3,0.9,1,1.5,1.1,2.5,3.6,0.9,0.4,0.5,0.8,2.4,7.3,0.438,0.458,0.3,0.457,0.63,0.48
677,Mike Conley\conlemi01,20,MEM,NBA,2007-08,53,46,26.1,3.6,8.3,3,6.6,0.6,1.7,1.7,2.3,0.4,2.2,2.6,4.2,0.8,0,1.7,1.6,9.4,0.428,0.453,0.33,0.462,0.732,0.502
678,Daequan Cook\cookda02,20,MIA,NBA,2007-08,59,19,24.4,3.3,8.7,2,4.7,1.3,4,0.8,1,0.3,2.7,3,1.3,0.4,0.2,1.1,2.7,8.8,0.381,0.424,0.332,0.458,0.825,0.48
679,Javaris Crittenton\crittja01,20,TOT,NBA,2007-08,50,0,13.6,2,4.7,1.8,3.9,0.2,0.7,1.4,2.1,0.5,1.7,2.2,1,0.4,0,1.1,0.9,5.6,0.421,0.449,0.27,0.442,0.692,0.499
680,Jermareo Davidson\davidje01,23,CHA,NBA,2007-08,38,2,8.5,1.3,3.3,1.3,3.3,0,0,0.5,0.7,0.6,1.1,1.6,0.3,0.2,0.4,0.4,1.2,3.2,0.408,0.408,,0.408,0.643,0.437
681,Glen Davis\davisgl01,22,BOS,NBA,2007-08,69,1,13.6,1.6,3.2,1.6,3.2,0,0,1.4,2.2,1.4,1.6,3,0.4,0.4,0.3,0.9,2.3,4.5,0.484,0.484,,0.484,0.66,0.545
682,Guillermo Diaz\diazgu01,22,LAC,NBA,2007-08,6,0,3,0.2,0.7,0.2,0.5,0,0.2,0.5,0.8,0.3,0,0.3,0.2,0,0,0,0,0.8,0.25,0.333,0,0.25,0.6,0.403
683,Jared Dudley\dudleja01,22,CHA,NBA,2007-08,73,14,19,2.2,4.8,2.1,4.2,0.1,0.6,1.2,1.6,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8,0.468,0.502,0.22,0.481,0.737,0.528
684,Kevin Durant\duranke01,19,SEA,NBA,2007-08,80,80,34.6,7.3,17.1,6.6,14.5,0.7,2.6,4.9,5.6,0.9,3.5,4.4,2.4,1,0.9,2.9,1.5,20.3,0.43,0.455,0.288,0.451,0.873,0.519
685,Nick Fazekas\fazekni01,22,TOT,NBA,2007-08,26,0,10.3,1.8,3.2,1.8,3.1,0,0.1,0.6,0.8,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1,0.561,0.575,0,0.561,0.682,0.584
686,Kyrylo Fesenko\fesenky01,21,UTA,NBA,2007-08,9,0,7.8,0.7,1.8,0.7,1.8,0,0,0.2,0.4,1.6,1.2,2.8,0.2,0,0.3,0.9,2.1,1.6,0.375,0.375,,0.375,0.5,0.394
687,Thomas Gardner\gardnth01,22,CHI,NBA,2007-08,4,0,11.3,2.3,5.8,1.5,2.8,0.8,3,0,0.5,0.8,0.3,1,0.3,0,0,1,1,5.3,0.391,0.545,0.25,0.457,0,0.44
688,Marcin Gortat\gortama01,23,ORL,NBA,2007-08,6,0,6.8,1.3,2.8,1.3,2.8,0,0,0.3,0.5,1.3,1.3,2.7,0.3,0.2,0.2,0.3,0.7,3,0.471,0.471,,0.471,0.667,0.491
689,Aaron Gray\grayaa01,23,CHI,NBA,2007-08,61,1,10,1.7,3.3,1.7,3.3,0,0,0.9,1.6,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,0.505,0.507,0,0.505,0.566,0.529
690,Jeff Green\greenje02,21,SEA,NBA,2007-08,80,52,28.2,4,9.4,3.7,8.4,0.3,1,2.2,3,1.3,3.5,4.7,1.5,0.6,0.6,2,2.5,10.5,0.427,0.444,0.276,0.441,0.744,0.491
691,Taurean Green\greenta01,21,TOT,NBA,2007-08,17,0,4.4,0.4,1.5,0.3,0.8,0.1,0.6,0.6,0.7,0,0.6,0.6,0.6,0.1,0,0.5,0.3,1.6,0.28,0.357,0.182,0.32,0.917,0.446
692,Mike Harris\harrimi01,24,HOU,NBA,2007-08,17,0,9.4,1.6,3.2,1.6,3.1,0,0.1,0.5,0.8,1.4,1.8,3.2,0.2,0.4,0.2,0.5,0.9,3.6,0.5,0.519,0,0.5,0.615,0.519
693,Spencer Hawes\hawessp01,19,SAC,NBA,2007-08,71,8,13.1,2.1,4.5,2,4.2,0.1,0.3,0.5,0.8,1,2.3,3.2,0.6,0.2,0.6,0.8,1.8,4.7,0.459,0.478,0.19,0.465,0.655,0.486
694,Al Horford\horfoal01,21,ATL,NBA,2007-08,81,77,31.4,4.1,8.2,4.1,8.2,0,0.1,1.9,2.6,3.1,6.6,9.7,1.5,0.7,0.9,1.7,3.3,10.1,0.499,0.502,0,0.499,0.731,0.539
695,Yi Jianlian\jianlyi01,20,MIL,NBA,2007-08,66,49,25,3.3,7.9,3.2,7.6,0.1,0.3,1.8,2.2,1.6,3.6,5.2,0.8,0.5,0.8,1.4,2.3,8.6,0.421,0.427,0.286,0.427,0.841,0.485
696,Coby Karl\karlco01,24,LAL,NBA,2007-08,17,0,4.2,0.5,1.5,0.3,0.8,0.2,0.8,0.5,0.6,0.2,0.6,0.8,0.5,0.2,0.1,0.3,0.2,1.8,0.346,0.385,0.308,0.423,0.8,0.493
697,Carl Landry\landrca01,24,HOU,NBA,2007-08,42,0,16.9,3.2,5.2,3.2,5.2,0,0,1.7,2.6,2.3,2.6,4.9,0.5,0.4,0.2,0.6,2.3,8.1,0.616,0.619,0,0.616,0.661,0.641
698,Keith Langford\langfke01,24,SAS,NBA,2007-08,2,0,5,0.5,2,0.5,2,0,0,0,0,0,1,1,0,0,0,0,0.5,1,0.25,0.25,,0.25,,0.25
699,Stephane Lasme\lasmest01,25,TOT,NBA,2007-08,16,4,18.9,2,4.4,2,4.4,0,0,1.2,2,1.6,1.7,3.3,0.2,0.8,1.4,0.9,2.2,5.2,0.451,0.451,,0.451,0.594,0.488
700,Acie Law\lawac01,23,ATL,NBA,2007-08,56,6,15.4,1.7,4.2,1.6,3.6,0.1,0.6,0.7,0.9,0.2,0.8,1,2,0.5,0,1,1.3,4.2,0.401,0.433,0.206,0.416,0.792,0.455
701,Ian Mahinmi\mahinia01,21,SAS,NBA,2007-08,6,0,3.8,1,2,1,2,0,0,1.5,1.5,0,0.8,0.8,0.2,0,0.7,0.3,0.7,3.5,0.5,0.5,,0.5,1,0.658
702,Dominic McGuire\mcguido01,22,WAS,NBA,2007-08,70,1,9.9,0.6,1.5,0.5,1.4,0,0.1,0.2,0.5,0.8,1.2,2,0.6,0.3,0.4,0.6,1.1,1.3,0.379,0.392,0.167,0.383,0.438,0.397
703,Josh McRoberts\mcrobjo01,20,POR,NBA,2007-08,8,0,3.5,0.8,1.3,0.8,1.1,0,0.1,0,0,0.3,1,1.3,0.3,0.1,0,0.3,0.1,1.5,0.6,0.667,0,0.6,,0.6
704,Jamario Moon\moonja01,27,TOR,NBA,2007-08,78,75,27.8,3.6,7.4,3.1,5.8,0.5,1.6,0.8,1.1,1.2,5,6.2,1.2,1,1.4,0.7,1.9,8.5,0.485,0.528,0.328,0.52,0.741,0.54
705,Juan Carlos Navarro\navarju01,27,MEM,NBA,2007-08,82,30,25.8,3.8,9.3,1.9,4.1,1.9,5.3,1.5,1.8,0.4,2.1,2.6,2.2,0.6,0,1.6,1.1,10.9,0.402,0.455,0.361,0.504,0.849,0.54
706,Demetris Nichols\nichode01,23,TOT,NBA,2007-08,14,0,3.1,0.4,1.6,0.2,0.7,0.2,0.9,0,0,0,0.4,0.4,0.1,0,0.2,0.3,0.3,1.1,0.261,0.3,0.231,0.326,,0.326
707,Joakim Noah\noahjo01,22,CHI,NBA,2007-08,74,31,20.7,2.4,5,2.4,4.9,0,0,1.8,2.6,2.4,3.3,5.6,1.1,0.9,0.9,1.2,2.3,6.6,0.482,0.484,0,0.482,0.691,0.539
708,Oleksiy Pecherov\pecheol01,22,WAS,NBA,2007-08,35,0,9.1,1.3,3.6,0.8,1.9,0.5,1.7,0.6,0.9,0.6,1.3,1.9,0.2,0.2,0.1,0.5,0.9,3.6,0.352,0.415,0.283,0.42,0.645,0.451
709,Kosta Perovic\perovko01,22,GSW,NBA,2007-08,7,0,5.4,0.4,1.4,0.4,1.4,0,0,0.6,0.9,0.9,1,1.9,0.1,0,0.3,0.1,0.9,1.4,0.3,0.3,,0.3,0.667,0.396
710,Kasib Powell\powelka01,26,MIA,NBA,2007-08,11,4,27.6,3.2,8.6,2.5,5.6,0.7,3,0.5,0.8,0.7,3.3,4,1.6,0.8,0.2,0.5,1.6,7.6,0.368,0.435,0.242,0.411,0.667,0.424
711,Gabe Pruitt\pruitga01,21,BOS,NBA,2007-08,15,0,6.3,0.9,2.6,0.7,1.8,0.2,0.8,0.1,0.1,0.1,0.5,0.5,0.9,0.3,0,0.3,0.7,2.1,0.359,0.407,0.25,0.397,0.5,0.401
712,Chris Richard\richach01,23,MIN,NBA,2007-08,52,3,10.7,0.8,1.7,0.8,1.7,0,0,0.3,0.5,1,1.6,2.6,0.3,0.2,0.2,0.5,1.6,1.9,0.471,0.471,,0.471,0.593,0.496
713,Cheikh Samb\sambch01,23,DET,NBA,2007-08,4,0,7.8,0.8,1,0.8,1,0,0,0.3,0.5,0.8,1,1.8,0,0.3,0.5,0.3,2,1.8,0.75,0.75,,0.75,0.5,0.717
714,Luis Scola\scolalu01,27,HOU,NBA,2007-08,82,39,24.7,4.2,8.2,4.2,8.1,0,0,1.9,2.9,2.1,4.3,6.4,1.3,0.7,0.2,1.3,2.9,10.3,0.515,0.517,0,0.515,0.668,0.548
715,Ramon Sessions\sessira01,21,MIL,NBA,2007-08,17,7,26.5,3,6.9,2.8,6.5,0.2,0.4,1.9,2.4,0.5,2.9,3.4,7.5,1,0.2,2.1,1.5,8.1,0.436,0.436,0.429,0.449,0.78,0.507
716,Courtney Sims\simsco01,24,IND,NBA,2007-08,3,0,3.7,0,0.3,0,0.3,0,0,0,0,0.3,0.3,0.7,0.3,0,0,0,0.7,0,0,0,,0,,0
717,Jason Smith\smithja02,21,PHI,NBA,2007-08,76,1,14.6,1.9,4.1,1.8,3.9,0.1,0.2,0.7,1.1,1,2,3,0.3,0.3,0.7,0.6,1.9,4.5,0.455,0.463,0.286,0.461,0.659,0.491
718,D.J. Strawberry\strawdj01,22,PHO,NBA,2007-08,33,0,8.2,0.9,2.8,0.7,2,0.2,0.8,0.3,0.6,0.3,0.6,0.8,0.9,0.4,0.2,0.3,1.1,2.2,0.315,0.343,0.24,0.348,0.474,0.364
719,Rodney Stuckey\stuckro01,21,DET,NBA,2007-08,57,2,19,2.7,6.7,2.6,6.4,0.1,0.3,2.2,2.7,0.6,1.7,2.3,2.8,0.9,0.1,1.4,2,7.6,0.401,0.41,0.188,0.404,0.814,0.484
720,Al Thornton\thornal01,24,LAC,NBA,2007-08,79,31,27.3,4.7,11,4.2,9.4,0.5,1.6,2.7,3.6,1.2,3.3,4.5,1.2,0.6,0.5,1.6,2.5,12.7,0.429,0.447,0.331,0.454,0.743,0.504
721,Alando Tucker\tuckeal02,23,PHO,NBA,2007-08,6,0,8,1.3,3.7,1.2,3,0.2,0.7,0.8,1,0.7,0.7,1.3,0,0,0.2,0,0.3,3.7,0.364,0.389,0.25,0.386,0.833,0.446
722,Darius Washington\washida01,22,SAS,NBA,2007-08,18,0,8.1,1.2,2.7,0.9,2,0.2,0.7,0.4,0.7,0.2,0.9,1.1,0.8,0.3,0,0.8,0.9,2.9,0.438,0.472,0.333,0.479,0.538,0.493
723,Darryl Watkins\watkida01,23,SAC,NBA,2007-08,9,0,7.9,0.6,1.7,0.6,1.7,0,0,0.2,0.6,0.6,0.8,1.3,0,0.2,0.2,0.8,0.9,1.3,0.333,0.333,,0.333,0.4,0.349
724,C.J. Watson\watsocj01,23,GSW,NBA,2007-08,32,0,11.5,1.3,3.2,1.1,2.3,0.3,0.8,0.7,0.9,0.4,0.6,1,1.1,0.5,0,0.6,0.6,3.7,0.426,0.453,0.346,0.47,0.793,0.519
725,Mario West\westma02,23,ATL,NBA,2007-08,64,2,4.2,0.3,0.8,0.3,0.7,0,0.1,0.3,0.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1,0.9,0.429,0.467,0,0.429,0.654,0.488
726,Marcus Williams\willima04,21,TOT,NBA,2007-08,11,0,3.3,0.5,1.8,0.5,1.8,0,0,0,0,0.4,0.7,1.1,0.3,0.1,0.1,0,0.3,0.9,0.25,0.25,,0.25,,0.25
